|成交日期| 交易所 |       品种       |      合约      |买/卖|   投/保    |  成交价  | 手数 |   成交额   |       开平       |  手续费  |  平仓盈亏  |     权利金收支      |  成交序号  |
|  Date  |Exchange|     Product      |   Instrument   | B/S |    S/H     |   Price  | Lots |  Turnover  |       O/C        |   Fee    |Realized P/L|Premium Received/Paid|  Trans.No. |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|20190521|郑商所  |精对苯二甲酸      |     TA909      |买   |投机        |  5528.000|    10|   276400.00|开                |     30.17|        0.00|                 0.00|052100247799|
|20190521|郑商所  |精对苯二甲酸      |     TA909      |买   |投机        |  5540.000|    10|   277000.00|开                |     30.17|        0.00|                 0.00|052100619808|
|20190521|郑商所  |精对苯二甲酸      |     TA909      |买   |投机        |  5540.000|     1|    27700.00|开                |      3.02|        0.00|                 0.00|052100654713|
|20190521|郑商所  |精对苯二甲酸      |     TA909      |买   |投机        |  5540.000|     1|    27700.00|开                |      3.02|        0.00|                 0.00|052100654868|
|20190521|郑商所  |精对苯二甲酸      |     TA909      |买   |投机        |  5540.000|     1|    27700.00|开                |      3.02|        0.00|                 0.00|052100654904|
|20190521|郑商所  |精对苯二甲酸      |     TA909      |买   |投机        |  5540.000|     1|    27700.00|开                |      3.02|        0.00|                 0.00|052100654989|
|20190521|郑商所  |精对苯二甲酸      |     TA909      |买   |投机        |  5540.000|     1|    27700.00|开                |      3.02|        0.00|                 0.00|052100655171|
|20190521|郑商所  |精对苯二甲酸      |     TA909      |   卖|投机        |  5550.000|     2|    55500.00|  平              |      0.03|     -620.00|                 0.00|052101146809|
|20190521|郑商所  |精对苯二甲酸      |     TA909      |   卖|投机        |  5550.000|     2|    55500.00|  平              |      0.03|     -620.00|                 0.00|052101146810|
|20190521|郑商所  |精对苯二甲酸      |     TA909      |   卖|投机        |  5550.000|     1|    27750.00|  平              |      0.02|     -310.00|                 0.00|052101146811|
|20190521|郑商所  |精对苯二甲酸      |     TA909      |   卖|投机        |  5586.000|     1|    27930.00|  平              |      0.02|     -130.00|                 0.00|052101778571|
|20190521|郑商所  |精对苯二甲酸      |     TA909      |   卖|投机        |  5586.000|     2|    55860.00|  平              |      0.03|     -260.00|                 0.00|052101778572|
|20190521|郑商所  |精对苯二甲酸      |     TA909      |   卖|投机        |  5586.000|     2|    55860.00|  平              |      0.03|     -260.00|                 0.00|052101778573|
|20190521|郑商所  |精对苯二甲酸      |     TA909      |   卖|投机        |  5586.000|     2|    55860.00|  平              |      0.03|     -260.00|                 0.00|052101778574|
|20190521|郑商所  |精对苯二甲酸      |     TA909      |   卖|投机        |  5586.000|     1|    27930.00|  平              |      0.02|     -130.00|                 0.00|052101778575|
|20190521|郑商所  |精对苯二甲酸      |     TA909      |   卖|投机        |  5586.000|     1|    27930.00|  平              |      0.02|     -130.00|                 0.00|052101778576|
|20190521|郑商所  |精对苯二甲酸      |     TA909      |   卖|投机        |  5586.000|     2|    55860.00|  平              |      0.03|     -260.00|                 0.00|052101778577|
|20190521|郑商所  |精对苯二甲酸      |     TA909      |   卖|投机        |  5586.000|     2|    55860.00|  平              |      0.03|     -260.00|                 0.00|052101778578|
|20190521|郑商所  |精对苯二甲酸      |     TA909      |   卖|投机        |  5586.000|     2|    55860.00|  平              |      0.03|     -260.00|                 0.00|052101778579|
|20190521|郑商所  |精对苯二甲酸      |     TA909      |   卖|投机        |  5586.000|     5|   139650.00|  平              |      0.08|     1450.00|                 0.00|052101778580|
|20190521|郑商所  |一号棉花          |     CF909      |   卖|投机        | 13900.000|     5|   347500.00|开                |     21.71|        0.00|                 0.00|052103749540|
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|共 113条|        |                  |                      |            |          |   429| 23941430.00|                  |   1182.91|       50.00|             11380.00|            |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
能源中心---INE  上期所---SHFE   中金所---CFFEX  大商所---DCE   郑商所---CZCE
买---Buy   卖---Sell
投机---Speculation  套保---Hedge  套利---Arbitrage  一般---General  交易---Trade  做市商---Market Maker
开---Open 平---Close 平今---Close Today 强平---Forced Liquidation 平昨---Close Prev. 强减---Forced Reduction 本地强平---Local Forced Liquidation 

                                                         平仓明细 Position Closed 
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
| 平仓日期 | 交易所 |       品种       |      合约      |开仓日期 |买/卖|   手数   |     开仓价    |     昨结算     |   成交价   |  平仓盈亏  |     权利金收支      |
|Close Date|Exchange|      Product     |   Instrument   |Open Date| B/S |   Lots   |Pos. Open Price|   Prev. Sttl   |Trans. Price|Realized P/L|Premium Received/Paid|
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
|20190521  |大商所  |豆粕              |m1909           |20190402 |   卖|         1|       2615.000|        2732.000|    2763.000|      310.00|                 0.000|
|20190521  |大商所  |豆粕              |m1909           |20190402 |   卖|         2|       2615.000|        2732.000|    2763.000|      620.00|                 0.000|
|20190521  |大商所  |豆粕              |m1909           |20190402 |   卖|         1|       2615.000|        2732.000|    2763.000|      310.00|                 0.000|
|20190521  |大商所  |豆粕              |m1909           |20190402 |   卖|         1|       2615.000|        2732.000|    2763.000|      310.00|                 0.000|
|20190521  |大商所  |豆粕              |m1909           |20190402 |   卖|         5|       2615.000|        2732.000|    2763.000|     1550.00|                 0.000|
|20190521  |大商所  |豆粕              |m1909           |20190409 |   卖|        10|       2617.000|        2732.000|    2785.000|     5300.00|                 0.000|
|20190521  |大商所  |聚丙烯            |pp1909          |20190521 |买   |         4|       8428.000|        8348.000|    8457.000|     -580.00|                 0.000|
|20190521  |大商所  |聚丙烯            |pp1909          |20190521 |买   |         5|       8428.000|        8348.000|    8457.000|     -725.00|                 0.000|
|20190521  |大商所  |聚丙烯            |pp1909          |20190521 |买   |         1|       8428.000|        8348.000|    8457.000|     -145.00|                 0.000|
|20190521  |大商所  |聚丙烯            |pp1909          |20190521 |买   |         1|       8443.000|        8348.000|    8457.000|      -70.00|                 0.000|
|20190521  |大商所  |聚丙烯            |pp1909          |20190521 |买   |         9|       8443.000|        8348.000|    8457.000|     -630.00|                 0.000|
|20190521  |大商所  |聚丙烯            |pp1909          |20190521 |买   |         1|       8459.000|        8348.000|    8469.000|      -50.00|                 0.000|
