|成交日期| 交易所 |       品种       |      合约      |买/卖|   投/保    |  成交价  | 手数 |   成交额   |       开平       |  手续费  |  平仓盈亏  |     权利金收支      |  成交序号  |
|  Date  |Exchange|     Product      |   Instrument   | B/S |    S/H     |   Price  | Lots |  Turnover  |       O/C        |   Fee    |Realized P/L|Premium Received/Paid|  Trans.No. |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|20191009|能源中心|20号胶            |     nr2002     |买   |一般        |  9790.000|     1|    97900.00|开                |     10.06|        0.00|                 0.00|000001425481|
|20191009|能源中心|20号胶            |     nr2002     |买   |一般        |  9755.000|     1|    97550.00|开                |     10.06|        0.00|                 0.00|000001592978|
|20191009|能源中心|20号胶            |     nr2002     |买   |一般        |  9750.000|     1|    97500.00|开                |     10.06|        0.00|                 0.00|000001594217|
|20191009|能源中心|20号胶            |     nr2002     |买   |一般        |  9750.000|     1|    97500.00|开                |     10.06|        0.00|                 0.00|000001594232|
|20191009|能源中心|20号胶            |     nr2002     |买   |一般        |  9735.000|     1|    97350.00|开                |     10.06|        0.00|                 0.00|000001653678|
|20191009|能源中心|20号胶            |     nr2002     |买   |一般        |  9750.000|     1|    97500.00|开                |     10.06|        0.00|                 0.00|000001827381|
|20191009|能源中心|20号胶            |     nr2002     |买   |一般        |  9750.000|     1|    97500.00|开                |     10.06|        0.00|                 0.00|000001828795|
|20191009|能源中心|20号胶            |     nr2002     |买   |一般        |  9750.000|     1|    97500.00|开                |     10.06|        0.00|                 0.00|000001828834|
|20191009|能源中心|20号胶            |     nr2002     |买   |一般        |  9750.000|     1|    97500.00|开                |     10.06|        0.00|                 0.00|000001828862|
|20191009|上期所  |白银              |     ag1912     |   卖|投机        |  4350.000|     1|    65250.00|开                |      3.30|        0.00|                 0.00|000000022422|
|20191009|上期所  |白银              |     ag1912     |   卖|投机        |  4381.000|     1|    65715.00|开                |      3.33|        0.00|                 0.00|000000149883|
|20191009|上期所  |白银              |     ag1912     |买   |投机        |  4398.000|     1|    65970.00|开                |      3.34|        0.00|                 0.00|000000238647|
|20191009|上期所  |白银              |     ag1912     |   卖|投机        |  4406.000|     1|    66090.00|平今              |      3.34|      120.00|                 0.00|000000273708|
|20191009|上期所  |白银              |     ag1912     |   卖|投机        |  4400.000|     1|    66000.00|开                |      3.34|        0.00|                 0.00|000000292716|
|20191009|上期所  |白银              |     ag1912     |   卖|投机        |  4401.000|     1|    66015.00|开                |      3.34|        0.00|                 0.00|000000439767|
|20191009|上期所  |白银              |     ag1912     |   卖|投机        |  4401.000|     1|    66015.00|开                |      3.34|        0.00|                 0.00|000000441124|
|20191009|上期所  |白银              |     ag1912     |买   |投机        |  4392.000|     1|    65880.00|平今              |      3.33|     -630.00|                 0.00|000000581057|
|20191009|上期所  |白银              |     ag1912     |买   |投机        |  4391.000|     1|    65865.00|平今              |      3.33|     -150.00|                 0.00|000000581234|
|20191009|上期所  |白银              |     ag1912     |买   |投机        |  4390.000|     1|    65850.00|平今              |      3.33|      150.00|                 0.00|000000581640|
|20191009|上期所  |白银              |     ag1912     |买   |投机        |  4397.000|     1|    65955.00|开                |      3.34|        0.00|                 0.00|000000602830|
|20191009|上期所  |白银              |     ag1912     |买   |投机        |  4385.000|     1|    65775.00|开                |      3.33|        0.00|                 0.00|000000761156|
|20191009|上期所  |白银              |     ag1912     |   卖|投机        |  4388.000|     1|    65820.00|平今              |      3.33|     -135.00|                 0.00|000000783680|
|20191009|上期所  |白银              |     ag1912     |   卖|投机        |  4398.000|     1|    65970.00|平今              |      3.34|      195.00|                 0.00|000000839149|
|20191009|上期所  |白银              |     ag1912     |   卖|投机        |  4412.000|     1|    66180.00|开                |      3.35|        0.00|                 0.00|000001243225|
|20191009|上期所  |白银              |     ag1912     |买   |投机        |  4398.000|     1|    65970.00|开                |      3.34|        0.00|                 0.00|000001559169|
|20191009|上期所  |白银              |     ag1912     |   卖|投机        |  4400.000|     1|    66000.00|平今              |      3.34|       30.00|                 0.00|000001658030|
|20191009|上期所  |白银              |     ag1912     |   卖|投机        |  4403.000|     1|    66045.00|开                |      3.34|        0.00|                 0.00|000001733786|
|20191009|上期所  |白银              |     ag1912     |   卖|投机        |  4428.000|     1|    66420.00|开                |      3.36|        0.00|                 0.00|000002004661|
|20191009|上期所  |白银              |     ag1912     |买   |投机        |  4425.000|     1|    66375.00|平今              |      3.36|     -360.00|                 0.00|000002069254|
|20191009|上期所  |白银              |     ag1912     |买   |投机        |  4425.000|     1|    66375.00|平今              |      3.36|     -360.00|                 0.00|000002069595|
|20191009|上期所  |白银              |     ag1912     |   卖|投机        |  4428.000|     1|    66420.00|开                |      3.36|        0.00|                 0.00|000002096634|
|20191009|上期所  |白银              |     ag1912     |   卖|投机        |  4430.000|     1|    66450.00|开                |      3.36|        0.00|                 0.00|000002149250|
|20191009|上期所  |天然橡胶          |     ru2001     |   卖|投机        | 11540.000|     1|   115400.00|开                |      5.26|        0.00|                 0.00|000001350889|
|20191009|上期所  |天然橡胶          |     ru2001     |   卖|投机        | 11565.000|     1|   115650.00|开                |      5.27|        0.00|                 0.00|000001425482|
|20191009|上期所  |天然橡胶          |     ru2001     |   卖|投机        | 11530.000|     1|   115300.00|开                |      5.26|        0.00|                 0.00|000001592983|
|20191009|上期所  |天然橡胶          |     ru2001     |   卖|投机        | 11525.000|     1|   115250.00|开                |      5.26|        0.00|                 0.00|000001594219|
|20191009|上期所  |天然橡胶          |     ru2001     |   卖|投机        | 11525.000|     1|   115250.00|开                |      5.26|        0.00|                 0.00|000001594233|
|20191009|上期所  |天然橡胶          |     ru2001     |   卖|投机        | 11510.000|     1|   115100.00|开                |      5.25|        0.00|                 0.00|000001653680|
|20191009|上期所  |天然橡胶          |     ru2001     |   卖|投机        | 11525.000|     1|   115250.00|开                |      5.26|        0.00|                 0.00|000001827385|
|20191009|上期所  |天然橡胶          |     ru2001     |   卖|投机        | 11525.000|     1|   115250.00|开                |      5.26|        0.00|                 0.00|000001828797|
|20191009|上期所  |天然橡胶          |     ru2001     |   卖|投机        | 11525.000|     1|   115250.00|开                |      5.26|        0.00|                 0.00|000001828835|
|20191009|上期所  |天然橡胶          |     ru2001     |   卖|投机        | 11525.000|     1|   115250.00|开                |      5.26|        0.00|                 0.00|000001828866|
|20191009|上期所  |铜                |     cu1911     |买   |投机        | 46680.000|     1|   233400.00|平昨              |     11.81|     1000.00|                 0.00|000000718244|
|20191009|上期所  |铜                |     cu1911     |   卖|投机        | 46700.000|     1|   233500.00|平昨              |     11.82|     -900.00|                 0.00|000001891278|
|20191009|上期所  |铜                |     cu1911     |买   |投机        | 46630.000|     1|   233150.00|平昨              |     11.80|     1250.00|                 0.00|000002045829|
|20191009|上期所  |铜                |     cu1911     |买   |投机        | 46630.000|     1|   233150.00|平昨              |     11.80|     1250.00|                 0.00|000002113509|
|20191009|上期所  |铜                |     cu1912     |买   |投机        | 46730.000|     1|   233650.00|开                |     11.82|        0.00|                 0.00|000000001895|
|20191009|郑商所  |玻璃              |     FG001      |   卖|投机        |  1446.000|     5|   144600.00|  平              |     15.09|     -500.00|                 0.00|100903222628|
|20191009|郑商所  |玻璃              |     FG001      |   卖|投机        |  1446.000|     2|    57840.00|  平              |      6.03|     -200.00|                 0.00|100903222644|
|20191009|郑商所  |玻璃              |     FG001      |   卖|投机        |  1446.000|     1|    28920.00|  平              |      3.02|     -100.00|                 0.00|100903222645|
|20191009|郑商所  |玻璃              |     FG001      |   卖|投机        |  1446.000|     1|    28920.00|  平              |      3.02|     -100.00|                 0.00|100903225536|
|20191009|郑商所  |玻璃              |     FG001      |   卖|投机        |  1446.000|     1|    28920.00|  平              |      3.02|     -100.00|                 0.00|100903226369|
|20191009|郑商所  |红枣              |     CJ912      |买   |投机        | 10385.000|     5|   259625.00|开                |     25.16|        0.00|                 0.00|100902101333|
|20191009|郑商所  |红枣              |     CJ912      |买   |投机        | 10385.000|     5|   259625.00|开                |     25.16|        0.00|                 0.00|100902103369|
|20191009|郑商所  |精对苯二甲酸      |     TA001      |   卖|投机        |  5170.000|     2|    51700.00|  平              |      6.03|      440.00|                 0.00|100903221871|
|20191009|郑商所  |精对苯二甲酸      |     TA001      |   卖|投机        |  5170.000|     2|    51700.00|  平              |      6.03|      440.00|                 0.00|100903221873|
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|共 128条|        |                  |                      |            |          |   335| 13073730.00|                  |   1023.75|    -8735.00|             -1450.00|            |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
能源中心---INE  上期所---SHFE   中金所---CFFEX  大商所---DCE   郑商所---CZCE
买---Buy   卖---Sell
投机---Speculation  套保---Hedge  套利---Arbitrage  一般---General  交易---Trade  做市商---Market Maker
开---Open 平---Close 平今---Close Today 强平---Forced Liquidation 平昨---Close Prev. 强减---Forced Reduction 本地强平---Local Forced Liquidation 

                                                         平仓明细 Position Closed 
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
| 平仓日期 | 交易所 |       品种       |      合约      |开仓日期 |买/卖|   手数   |     开仓价    |     昨结算     |   成交价   |  平仓盈亏  |     权利金收支      |
|Close Date|Exchange|      Product     |   Instrument   |Open Date| B/S |   Lots   |Pos. Open Price|   Prev. Sttl   |Trans. Price|Realized P/L|Premium Received/Paid|
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
|20191009  |大商所  |豆粕期权          |m2001-C-3250    |20190923 |买   |         1|         10.000|           6.500|      14.500|        0.00|              -145.000|
|20191009  |大商所  |豆粕期权          |m2001-C-3250    |20190923 |买   |         4|         10.000|           6.500|      14.500|        0.00|              -580.000|
|20191009  |大商所  |豆粕期权          |m2001-C-3250    |20190923 |买   |         1|         10.000|           6.500|      14.500|        0.00|              -145.000|
|20191009  |大商所  |豆粕期权          |m2001-C-3250    |20190923 |买   |         4|         10.000|           6.500|      14.500|        0.00|              -580.000|
|20191009  |大商所  |豆粕期权          |m2001-P-2900    |20191008 |买   |         1|         61.000|          71.000|      57.500|        0.00|              -575.000|
|20191009  |大商所  |豆粕期权          |m2001-P-2900    |20191008 |买   |         2|         61.000|          71.000|      57.500|        0.00|             -1150.000|
|20191009  |大商所  |豆粕期权          |m2001-P-2900    |20191008 |买   |         1|         61.000|          71.000|      57.500|        0.00|              -575.000|
|20191009  |大商所  |豆粕期权          |m2001-P-2900    |20191008 |买   |         1|         61.000|          71.000|      57.500|        0.00|              -575.000|
|20191009  |大商所  |豆粕期权          |m2001-P-2900    |20191008 |   卖|         1|         61.000|          71.000|      57.500|        0.00|               575.000|
|20191009  |大商所  |豆粕期权          |m2001-P-2900    |20191008 |   卖|         3|         61.000|          71.000|      57.500|        0.00|              1725.000|
|20191009  |大商所  |豆粕期权          |m2001-P-2900    |20191008 |   卖|         1|         61.000|          71.000|      57.500|        0.00|               575.000|
|20191009  |大商所  |豆粕期权          |m2001-P-2900    |20191009 |买   |         4|         57.000|          71.000|      53.000|        0.00|             -2120.000|
|20191009  |大商所  |豆粕期权          |m2001-P-2900    |20191009 |买   |         1|         57.000|          71.000|      53.000|        0.00|              -530.000|
|20191009  |大商所  |豆粕期权          |m2001-P-2900    |20191009 |   卖|         4|         57.000|          71.000|      53.000|        0.00|              2120.000|
