|成交日期| 交易所 |       品种       |      合约      |买/卖|   投/保    |  成交价  | 手数 |   成交额   |       开平       |  手续费  |  平仓盈亏  |     权利金收支      |  成交序号  |
|  Date  |Exchange|     Product      |   Instrument   | B/S |    S/H     |   Price  | Lots |  Turnover  |       O/C        |   Fee    |Realized P/L|Premium Received/Paid|  Trans.No. |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|20190603|上期所  |螺纹钢            |     rb1910     |买   |投机        |  3704.000|     1|    37040.00|开                |      3.73|        0.00|                 0.00|000001988761|
|20190603|上期所  |螺纹钢            |     rb1910     |买   |投机        |  3704.000|     1|    37040.00|开                |      3.73|        0.00|                 0.00|000002045388|
|20190603|上期所  |螺纹钢            |     rb1910     |买   |投机        |  3703.000|     1|    37030.00|开                |      3.73|        0.00|                 0.00|000002046512|
|20190603|上期所  |螺纹钢            |     rb2001     |买   |投机        |  3488.000|     1|    34880.00|开                |      3.51|        0.00|                 0.00|000000053360|
|20190603|上期所  |螺纹钢            |     rb2001     |   卖|投机        |  3493.000|    20|   698600.00|开                |     70.28|        0.00|                 0.00|000000066242|
|20190603|上期所  |螺纹钢            |     rb2001     |买   |投机        |  3469.000|     1|    34690.00|开                |      3.49|        0.00|                 0.00|000001855333|
|20190603|上期所  |螺纹钢            |     rb2001     |买   |投机        |  3461.000|     1|    34610.00|开                |      3.48|        0.00|                 0.00|000001988782|
|20190603|上期所  |螺纹钢            |     rb2001     |买   |投机        |  3459.000|     1|    34590.00|开                |      3.48|        0.00|                 0.00|000002045050|
|20190603|上期所  |螺纹钢            |     rb2001     |买   |投机        |  3459.000|     1|    34590.00|开                |      3.48|        0.00|                 0.00|000002045052|
|20190603|上期所  |螺纹钢            |     rb2001     |买   |投机        |  3457.000|     1|    34570.00|开                |      3.48|        0.00|                 0.00|000002077507|
|20190603|上期所  |石油沥青          |     bu1909     |买   |投机        |  3104.000|     1|    31040.00|开                |      3.12|        0.00|                 0.00|000001214669|
|20190603|上期所  |石油沥青          |     bu1909     |买   |投机        |  3104.000|     1|    31040.00|开                |      3.12|        0.00|                 0.00|000001214888|
|20190603|上期所  |石油沥青          |     bu1909     |买   |投机        |  3104.000|     1|    31040.00|开                |      3.12|        0.00|                 0.00|000001214985|
|20190603|上期所  |石油沥青          |     bu1909     |买   |投机        |  3104.000|     7|   217280.00|开                |     21.86|        0.00|                 0.00|000001215026|
|20190603|上期所  |石油沥青          |     bu1909     |   卖|投机        |  3108.000|    10|   310800.00|平今              |     31.27|      400.00|                 0.00|000001251272|
|20190603|上期所  |石油沥青          |     bu1909     |买   |投机        |  3110.000|     1|    31100.00|开                |      3.13|        0.00|                 0.00|000001266760|
|20190603|上期所  |石油沥青          |     bu1909     |买   |投机        |  3110.000|     9|   279900.00|开                |     28.16|        0.00|                 0.00|000001266855|
|20190603|上期所  |石油沥青          |     bu1909     |   卖|投机        |  3112.000|     3|    93360.00|平今              |      9.39|       60.00|                 0.00|000001285468|
